38,144,109,161,45,28,27,29,0
39,152,104,171,42,25,25,28,0
37,154,103,197,39,25,25,28,0
39,140,96,237,43,25,32,27,0
38,155,93,232,38,24,37,27,0
37,129,86,250,40,23,37,24,0
39,119,87,246,41,23,36,22,0
41,117,89,217,38,22,35,22,0
46,117,83,160,34,19,34,21,0
45,100,97,178,33,21,29,25,0
43,102,90,163,36,22,28,22,0
45,101,100,184,35,23,35,25,0
44,113,116,199,39,24,37,25,0
38,126,140,200,38,24,33,26,0
38,127,131,182,40,23,34,23,0
38,120,138,176,38,25,34,25,0
33,130,134,151,36,23,30,24,0
28,123,125,140,33,24,29,25,0
31,116,106,150,39,24,28,22,0
29,115,104,142,38,23,25,24,0
30,114,92,162,37,20,25,23,0
33,105,96,198,36,20,38,21,0
34,116,107,205,39,21,39,22,0
32,117,120,197,33,21,42,23,0
38,115,120,217,32,20,47,25,0
37,108,126,238,35,22,47,24,0
34,103,123,224,42,22,36,26,0
33,90,110,214,41,20,39,24,0
33,115,89,234,42,21,40,25,0
29,126,108,233,44,23,36,25,0
29,145,104,189,41,22,42,24,0
31,190,108,179,37,24,44,24,0
32,208,107,188,37,24,42,27,0
33,197,112,226,38,23,36,26,0
30,207,98,221,38,21,35,24,0
31,205,109,255,38,23,30,25,0
32,174,104,244,37,20,31,24,0
31,152,110,276,40,22,34,23,0
29,145,110,248,40,22,36,22,0
29,127,113,239,37,20,37,21,0
29,142,114,204,37,21,35,23,0
30,151,120,205,36,21,33,23,0
30,156,124,145,31,20,30,21,0
31,170,125,132,29,22,28,22,0
30,172,127,216,35,23,32,24,0
31,153,130,219,35,21,32,21,0
29,145,124,229,36,21,30,21,0
30,149,124,278,42,21,28,22,0
28,129,118,280,42,20,33,20,0
29,126,126,219,39,20,34,19,0
28,124,121,218,37,20,36,18,0
28,131,133,206,36,21,39,20,0
31,138,126,130,28,20,39,22,0
32,137,128,102,27,19,37,23,0
32,174,114,94,25,17,31,24,0
30,181,104,85,25,18,28,24,0
29,174,90,78,25,17,26,25,0
24,172,89,70,24,19,27,23,0
26,175,87,51,20,20,31,23,0
24,132,82,47,21,21,32,23,0
25,129,94,34,21,21,31,24,0
25,118,81,32,19,22,30,23,0
28,118,107,33,21,23,37,30,0
28,131,110,31,22,24,32,30,0
36,142,116,31,21,24,33,31,0
37,129,107,30,22,25,33,33,0
43,132,110,30,23,25,33,37,0
43,115,94,39,24,21,24,34,0
45,101,93,36,24,20,22,37,0
42,106,85,39,23,20,21,38,0
46,131,94,41,22,20,22,38,0
45,135,92,41,22,22,21,38,0
47,136,98,31,20,21,22,36,0
45,139,94,31,21,22,23,35,0
44,124,97,27,22,21,22,31,0
41,130,95,22,22,21,22,30,0
36,140,100,22,23,19,48,26,0
38,152,91,27,25,24,58,32,0
43,143,89,26,25,24,68,31,0
44,149,87,27,25,24,79,33,0
45,129,72,26,25,24,90,37,0
45,115,85,27,24,24,80,36,0
37,90,76,29,23,21,77,30,0
33,93,78,30,24,22,73,33,0
33,90,81,29,23,24,65,33,0
35,78,84,32,24,23,49,30,0
36,76,70,32,24,24,47,32,0
38,82,72,27,23,24,47,32,0
37,95,72,29,23,23,42,30,0
33,91,72,27,24,23,36,28,0
29,92,73,37,24,23,36,26,0
29,91,83,52,25,24,37,23,0
29,91,90,105,33,22,42,22,0
28,85,92,127,33,21,48,22,0
28,87,90,137,38,21,50,22,0
31,108,107,223,42,23,51,23,0
29,111,95,225,42,21,51,23,0
26,111,91,214,37,22,42,23,0
26,108,95,222,38,22,30,24,0
26,109,96,221,34,21,33,23,0
23,92,77,138,27,19,34,21,0
24,90,85,178,36,20,34,23,0
25,89,88,195,40,19,38,22,0
25,82,99,228,41,20,47,22,0
28,81,100,256,44,20,45,23,0
26,90,101,281,45,20,49,23,0
26,116,95,257,42,22,50,21,0
25,117,97,253,39,30,91,24,0
24,117,91,209,38,35,95,24,0
24,115,93,177,34,35,103,25,0
25,115,95,152,33,37,106,27,0
27,103,118,146,32,36,109,28,0
28,98,122,123,28,31,87,26,0
30,101,123,145,31,27,85,27,0
28,131,128,144,32,26,84,27,0
27,123,126,131,33,24,80,26,0
27,111,112,135,32,26,77,27,0
26,120,108,132,32,24,65,25,0
25,115,119,99,28,23,64,22,0
26,80,117,83,25,23,53,22,0
33,123,122,60,24,21,55,22,0
39,132,118,47,21,21,58,23,0
38,141,124,64,21,21,71,23,0
41,146,102,79,22,21,64,26,0
42,152,93,83,21,23,64,29,0
41,155,89,85,20,23,60,28,0
36,154,90,85,20,20,54,26,0
37,137,84,71,21,20,34,26,0
35,143,98,53,21,19,33,24,0
34,147,103,48,21,18,33,19,0
32,115,100,48,27,19,36,22,0
30,134,183,78,32,22,37,21,0
29,144,193,77,31,22,37,20,0
27,138,198,91,32,23,39,21,0
26,134,197,92,31,23,35,24,0
23,132,197,91,28,22,28,22,0
22,113,125,65,22,18,24,23,0
27,110,110,67,26,20,23,23,0
27,111,90,47,26,20,21,23,0
26,110,95,112,27,21,23,21,0
31,130,104,114,26,21,26,24,0
31,127,106,117,30,21,27,25,0
28,130,98,119,28,23,29,28,0
30,136,115,118,27,23,29,28,0
30,139,122,64,26,22,25,27,0
28,136,129,60,26,21,29,27,0
29,130,122,52,23,22,30,26,0
30,131,129,81,24,20,31,23,0
29,139,115,95,25,21,30,25,0
30,133,100,97,25,20,31,27,0
28,128,92,111,24,21,27,26,0
32,146,93,120,24,22,27,26,0
32,148,82,110,24,20,24,29,0
34,134,98,103,25,20,25,29,0
36,135,109,118,27,20,24,28,0
36,122,109,111,28,20,24,29,0
34,116,119,115,28,19,22,28,0
36,105,123,106,26,20,22,26,0
33,99,113,117,26,22,20,23,0
32,98,109,104,25,23,21,24,0
32,99,103,114,26,22,20,21,0
34,78,88,110,28,21,21,23,0
31,71,89,129,29,19,21,22,0
32,91,104,128,28,19,22,23,0
34,103,108,128,28,20,21,24,0
36,109,129,244,35,24,23,25,0
32,111,130,246,34,27,25,26,0
33,113,125,258,37,27,27,27,0
32,96,109,260,38,27,34,26,0
29,92,105,264,38,25,35,24,0
28,96,89,173,34,22,34,22,0
28,104,96,248,43,19,40,19,0
27,102,98,249,43,20,39,19,0
26,101,98,252,55,25,64,24,0
24,100,95,261,66,60,111,28,0
26,84,95,258,69,105,205,39,0
26,73,99,194,70,108,210,38,0
27,72,113,242,75,110,217,39,0
26,83,115,247,73,111,225,38,0
28,77,127,249,78,99,217,37,0
25,73,124,270,79,50,141,27,0
25,82,115,276,77,45,135,29,0
27,82,106,226,74,44,128,29,0
27,83,104,220,71,38,104,25,0
28,84,107,251,56,32,81,26,0
26,94,99,238,53,31,67,26,0
26,94,102,227,50,27,59,24,0
24,106,103,222,54,25,62,23,0
26,99,116,243,59,26,66,25,0
24,110,109,225,61,25,67,25,0
24,119,108,215,59,25,67,24,0
23,128,113,221,63,26,67,26,0
24,124,110,273,62,23,61,26,0
25,123,97,252,55,21,45,25,0
26,107,80,235,52,22,41,23,0
26,92,91,233,83,27,43,23,0
44,95,82,227,82,26,42,22,0
45,102,91,184,80,31,41,27,0
86,118,102,204,88,31,46,30,0
92,118,104,191,88,30,48,36,0
94,128,115,212,59,28,51,37,0
87,122,127,207,58,28,56,38,0
88,117,119,176,52,24,53,35,0
59,110,115,152,37,24,51,39,0
56,122,123,157,35,25,51,40,0
54,138,119,117,31,24,49,40,0
57,139,120,174,33,25,45,39,0
59,156,143,189,33,25,47,40,0
50,167,147,200,37,24,46,36,0
42,166,148,199,38,25,41,30,0
57,147,137,194,40,23,46,43,0
57,134,124,146,35,24,47,45,0
54,115,96,122,33,26,49,47,0
56,103,81,95,28,25,48,46,0
60,98,95,98,27,24,56,49,0
48,97,97,205,30,25,48,39,0
46,104,99,208,32,25,48,39,0
46,108,107,211,33,22,43,36,0
44,99,112,216,35,23,43,36,0
42,103,107,210,36,24,49,34,0
40,104,111,117,30,22,57,32,0
40,100,112,111,28,23,57,26,0
36,93,101,108,26,23,59,27,0
37,105,102,85,25,23,61,30,0
42,107,86,82,23,21,50,26,0
44,114,76,69,23,22,45,30,0
46,122,87,61,24,20,41,32,0
44,123,86,51,24,20,37,31,0
41,113,85,57,22,20,33,27,0
37,119,107,67,23,22,31,27,0
35,114,112,76,27,21,25,23,0
31,108,109,77,25,21,23,19,0
32,106,109,97,27,22,30,18,0
34,110,105,105,28,24,40,19,0
29,93,75,100,27,23,41,18,0
28,84,78,94,24,23,46,21,0
25,78,67,94,25,22,45,21,0
31,77,67,73,26,22,47,24,0
38,77,67,42,24,20,38,24,0
40,80,94,37,23,20,39,25,0
68,107,89,30,22,20,36,29,0
110,122,92,30,24,20,38,35,0
113,146,93,27,21,18,29,33,0
113,152,95,28,23,18,31,34,0
113,153,69,27,22,18,30,34,0
100,134,66,25,22,20,33,32,0
53,126,73,23,20,19,34,28,0
43,94,71,22,19,18,41,27,0
36,74,69,30,22,19,43,27,0
33,89,74,73,25,19,45,26,0
48,88,69,75,27,18,42,26,0
48,77,57,79,29,19,43,25,0
49,95,58,86,31,21,37,27,0
48,109,67,102,28,21,34,26,0
49,100,69,81,26,21,37,29,0
33,107,70,95,25,22,45,26,0
30,120,83,94,22,21,43,26,0
30,121,95,90,22,21,44,28,0
33,116,100,73,21,21,45,31,0
32,117,98,70,20,22,44,35,0
39,118,112,49,21,21,37,36,0
44,107,107,47,22,21,36,39,0
46,101,95,42,21,21,35,38,0
44,113,94,34,20,20,35,36,0
43,105,95,33,20,20,29,30,0
38,97,86,27,18,19,25,28,0
33,101,90,22,17,19,24,24,0
30,102,91,26,20,19,28,23,0
30,93,80,27,20,19,28,22,0
31,107,85,28,21,17,29,20,0
28,118,96,30,22,18,28,22,0
28,132,92,30,23,18,28,20,0
28,129,95,27,20,18,22,20,0
31,120,96,26,23,17,22,22,0
33,112,88,28,21,19,21,22,0
33,118,83,25,21,18,21,22,0
36,105,88,31,23,21,20,24,0
35,99,83,31,23,20,22,24,0
36,97,101,33,22,20,23,24,0
37,95,104,33,23,18,22,25,0
37,83,101,34,22,20,21,27,0
40,77,94,30,21,19,28,25,0
42,82,105,34,23,21,28,26,0
40,84,90,34,23,21,29,25,0
39,100,85,32,23,22,28,23,0
38,93,98,33,22,21,30,22,0
30,119,101,31,20,19,23,21,0
30,117,92,33,23,19,19,22,0
30,126,91,34,23,21,19,22,0
29,112,92,33,24,20,18,20,0
31,122,67,32,25,21,19,20,0
31,110,71,33,24,24,20,23,0
32,164,79,28,20,23,20,29,0
32,164,86,38,24,23,21,31,0
33,170,93,40,24,23,21,32,0
34,164,98,42,23,23,20,34,0
36,161,91,41,25,23,23,35,0
34,117,80,41,25,22,23,29,0
36,118,76,36,23,21,23,29,0
35,111,71,42,23,21,24,28,0
33,108,65,41,24,21,22,26,0
32,98,79,66,24,18,21,25,0
35,81,84,93,25,19,22,27,0
34,73,86,107,26,20,22,28,0
33,79,86,122,28,20,26,31,0
33,96,97,126,29,21,28,30,0
35,101,86,133,28,22,28,33,0
35,115,99,122,26,23,27,34,0
35,137,100,112,25,22,30,33,0
36,136,103,113,26,23,26,30,0
38,131,95,114,26,22,29,32,0
38,129,95,113,25,21,28,32,0
34,119,90,114,26,19,27,28,0
35,92,107,190,31,25,30,30,0
35,88,101,194,29,24,30,31,0
35,82,98,209,30,24,25,27,0
32,83,97,217,32,24,24,25,0
31,79,94,219,33,25,25,25,0
26,69,79,169,28,17,23,23,0
27,70,95,167,28,19,23,25,0
27,88,111,145,27,19,23,24,0
34,93,119,196,33,20,24,26,0
33,95,121,225,36,20,26,24,0
33,106,120,243,38,21,22,24,0
36,105,108,239,36,21,22,22,0
37,108,96,243,40,21,23,27,0
33,106,94,189,36,22,22,27,0
35,103,87,211,35,22,21,29,0
36,95,83,199,38,22,22,29,0
31,94,90,202,39,24,22,29,0
32,73,84,200,36,24,22,29,0
33,76,89,202,34,22,22,28,0
31,84,94,151,31,22,21,27,0
30,90,95,196,30,22,20,27,0
33,91,92,210,34,18,21,28,0
33,87,97,217,34,18,21,28,0
32,83,102,217,35,18,21,27,0
33,75,94,217,35,19,21,28,0
36,66,89,237,37,19,21,28,0
35,68,99,229,35,20,21,27,0
30,70,97,236,37,21,21,25,0
31,107,86,246,37,21,19,26,0
29,118,86,241,39,20,21,26,0
28,120,89,165,33,22,20,27,0
25,119,75,151,32,20,19,25,0
26,118,72,204,32,21,18,27,0
26,82,77,198,34,22,21,26,0
29,82,97,219,30,27,21,27,0
29,76,101,216,30,26,21,27,0
30,81,107,257,35,28,23,28,0
33,82,108,212,33,28,27,28,0
33,84,98,223,35,27,26,28,0
